test,truth,pred,wrong,status,body_lines,static_mutable,beforeclass,per_test_reset,fixture_calls_test,shared_cluster,global_static_write,sibling_touch_static,helpers_called,helper_sorts,body_sorts,n_tests
TestDelegationTokenRenewer.testAddRemoveRenewAction,async,async,False,ok,35.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
TestPathData.testToFile,OD,UC,True,ok,8.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0
TestLocalDirAllocator.testRemoveContext,OD,OD,False,ok,15.0,4.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,0.0,12.0
TestRMContainerAllocator.testSimple,async,async,False,ok,81.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,34.0
TestDelegationToken.testDelegationTokenSecretManager,conc,async,True,ok,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,15.0
TestDFSIO.testReadSkip,OD,time,True,ok,6.0,2.0,1.0,0.0,0.0,1.0,0.0,5.0,3.0,0.0,0.0,6.0
TestDFSIO.testReadBackward,OD,time,True,ok,6.0,2.0,1.0,0.0,0.0,1.0,0.0,5.0,3.0,0.0,0.0,6.0
TestDFSIO.testReadRandom,OD,time,True,ok,6.0,2.0,1.0,0.0,0.0,1.0,0.0,5.0,3.0,0.0,0.0,6.0
TestPeerCache.testEviction,OD,async,True,ok,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0
TestHftpFileSystem.testHftpDefaultPorts,OD,OD,False,UNRESOLVED,,,,,,,,,,,,
TestPathData.testUnqualifiedUriContents,OD,UC,True,ok,9.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,12.0
TestBlockFixer.testGeneratedBlock,conc,async,True,UNRESOLVED,,,,,,,,,,,,
TestRPCCompatibility.testVersion2ClientVersion2Server,OD,async,True,ok,18.0,3.0,0.0,1.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,8.0
TestDelegationTokenForProxyUser.testDelegationTokenWithRealUser,OD,conc,True,ok,20.0,5.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0
TestPathData.testWithStringAndConfForBuggyPath,OD,OD,False,ok,11.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,12.0
TestModTime.testModTime,time,time,False,ok,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
TestPathData.testWithDirStringAndConf,OD,OD,False,ok,11.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,12.0
testPendingAndInvalidate,conc,async,True,UNRESOLVED,,,,,,,,,,,,
TestPathData.testQualifiedUriContents,OD,UC,True,ok,9.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,12.0
TestPathData.testCwdContents,OD,UC,True,ok,9.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,12.0
TestHftpFileSystem.testHftpCustomDefaultPorts,OD,time,True,UNRESOLVED,,,,,,,,,,,,
TestSecurityUtil.testBuildDTServiceName,OD,OD,False,ok,18.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,20.0
TestUnderReplicatedBlocks.testSetrepIncWithUnderReplicatedBlocks,async,async,False,ok,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
TestDelegationTokenForProxyUser.testWebHdfsDoAs,OD,conc,True,ok,38.0,5.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0
TestMetricsSystemImpl.testInitFirstVerifyCallBacks,UC,async,True,ok,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
TestFairScheduler.testContinuousScheduling,async,async,False,UNRESOLVED,,,,,,,,,,,,
TestWritableName.testSetName,OD,OD,False,ok,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0
TestPeerCache.testAddAndRetrieve,OD,async,True,ok,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0
TestDFSIO.testRead,OD,time,True,ok,5.0,2.0,1.0,0.0,0.0,1.0,0.0,5.0,2.0,0.0,0.0,6.0
TestHftpFileSystem.testHftpCustomUriPortWithDefaultPorts,OD,OD,False,UNRESOLVED,,,,,,,,,,,,
TestPeerCache.testExpiry,OD,async,True,ok,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0
TestSecurityUtil.testBuildTokenServiceSockAddr,OD,OD,False,ok,16.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,20.0
TestDFSIO.testWrite,OD,time,True,ok,5.0,2.0,1.0,0.0,0.0,1.0,0.0,6.0,3.0,0.0,0.0,6.0
