test,truth,pred,wrong,sha,path,file,loc
TestDelegationTokenRenewer.testAddRemoveRenewAction,async,async,False,sha_cceb68f,hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/fs/TestDelegationTokenRenewer.java,TestDelegationTokenRenewer__testAddRemoveRenewAction.java,219
TestPathData.testToFile,OD,UC,True,sha_cceb68f,hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/fs/shell/TestPathData.java,TestPathData__testToFile.java,288
TestLocalDirAllocator.testRemoveContext,OD,OD,False,sha_cceb68f,hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/fs/TestLocalDirAllocator.java,TestLocalDirAllocator__testRemoveContext.java,477
TestRMContainerAllocator.testSimple,async,async,False,sha_cceb68f,hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-app/src/test/java/org/apache/hadoop/mapreduce/v2/app/rm/TestRMContainerAllocator.java,TestRMContainerAllocator__testSimple.java,3643
TestDelegationToken.testDelegationTokenSecretManager,conc,async,True,sha_cceb68f,hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/security/token/delegation/TestDelegationToken.java,TestDelegationToken__testDelegationTokenSecretManager.java,559
TestDFSIO.testReadSkip,OD,time,True,sha_cceb68f,hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-jobclient/src/test/java/org/apache/hadoop/fs/TestDFSIO.java,TestDFSIO__testReadSkip.java,1109
TestDFSIO.testReadBackward,OD,time,True,sha_cceb68f,hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-jobclient/src/test/java/org/apache/hadoop/fs/TestDFSIO.java,TestDFSIO__testReadBackward.java,1109
TestDFSIO.testReadRandom,OD,time,True,sha_cceb68f,hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-jobclient/src/test/java/org/apache/hadoop/fs/TestDFSIO.java,TestDFSIO__testReadRandom.java,1109
TestPeerCache.testEviction,OD,async,True,sha_cceb68f,hadoop-hdfs-project/hadoop-hdfs-client/src/test/java/org/apache/hadoop/hdfs/TestPeerCache.java,TestPeerCache__testEviction.java,293
TestHftpFileSystem.testHftpDefaultPorts,OD,OD,False,,,,0
TestPathData.testUnqualifiedUriContents,OD,UC,True,sha_cceb68f,hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/fs/shell/TestPathData.java,TestPathData__testUnqualifiedUriContents.java,288
TestBlockFixer.testGeneratedBlock,conc,async,True,,,,0
TestRPCCompatibility.testVersion2ClientVersion2Server,OD,async,True,sha_5537c6b,hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/ipc/TestRPCCompatibility.java,TestRPCCompatibility__testVersion2ClientVersion2Server.java,394
TestDelegationTokenForProxyUser.testDelegationTokenWithRealUser,OD,conc,True,sha_cceb68f,hadoop-hdfs-project/hadoop-hdfs/src/test/java/org/apache/hadoop/hdfs/security/TestDelegationTokenForProxyUser.java,TestDelegationTokenForProxyUser__testDelegationTokenWithRealUser.java,189
TestPathData.testWithStringAndConfForBuggyPath,OD,OD,False,sha_cceb68f,hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/fs/shell/TestPathData.java,TestPathData__testWithStringAndConfForBuggyPath.java,288
TestModTime.testModTime,time,time,False,sha_cceb68f,hadoop-hdfs-project/hadoop-hdfs/src/test/java/org/apache/hadoop/hdfs/TestModTime.java,TestModTime__testModTime.java,226
TestPathData.testWithDirStringAndConf,OD,OD,False,sha_cceb68f,hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/fs/shell/TestPathData.java,TestPathData__testWithDirStringAndConf.java,288
testPendingAndInvalidate,conc,async,True,,,,0
TestPathData.testQualifiedUriContents,OD,UC,True,sha_cceb68f,hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/fs/shell/TestPathData.java,TestPathData__testQualifiedUriContents.java,288
TestPathData.testCwdContents,OD,UC,True,sha_cceb68f,hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/fs/shell/TestPathData.java,TestPathData__testCwdContents.java,288
TestHftpFileSystem.testHftpCustomDefaultPorts,OD,time,True,,,,0
TestSecurityUtil.testBuildDTServiceName,OD,OD,False,sha_cceb68f,hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/security/TestSecurityUtil.java,TestSecurityUtil__testBuildDTServiceName.java,489
TestUnderReplicatedBlocks.testSetrepIncWithUnderReplicatedBlocks,async,async,False,sha_5537c6b,hadoop-hdfs-project/hadoop-hdfs/src/test/java/org/apache/hadoop/hdfs/server/blockmanagement/TestUnderReplicatedBlocks.java,TestUnderReplicatedBlocks__testSetrepIncWithUnderReplicatedBlocks.java,155
TestDelegationTokenForProxyUser.testWebHdfsDoAs,OD,conc,True,sha_cceb68f,hadoop-hdfs-project/hadoop-hdfs/src/test/java/org/apache/hadoop/hdfs/security/TestDelegationTokenForProxyUser.java,TestDelegationTokenForProxyUser__testWebHdfsDoAs.java,189
