project,test,sha,callees,resolved,file
apache_hadoop,TestDelegationTokenRenewer.testAddRemoveRenewAction,14cd969b,4,DelegationTokenRenewer.addRenewAction;DelegationTokenRenewer.getRenewQueueLength;DelegationTokenRenewer.removeRenewAction;Time.now,apache_hadoop__TestDelegationTokenRenewer__testAddRemoveRenewAction.java
apache_hadoop,TestPathData.testToFile,14cd969b,2,Path.toString;PathData.toFile,apache_hadoop__TestPathData__testToFile.java
apache_hadoop,TestLocalDirAllocator.testRemoveContext,14cd969b,4,Configuration.set;LocalDirAllocator.getLocalPathForWrite;LocalDirAllocator.isContextValid;LocalDirAllocator.removeContext,apache_hadoop__TestLocalDirAllocator__testRemoveContext.java
apache_hadoop,TestRMContainerAllocator.testSimple,14cd969b,3,MRBuilderUtils.newJobId;MRBuilderUtils.newJobReport;Resource.newInstance,apache_hadoop__TestRMContainerAllocator__testSimple.java
apache_hadoop,TestDelegationToken.testDelegationTokenSecretManager,14cd969b,2,Time.now;Token.getIdentifier,apache_hadoop__TestDelegationToken__testDelegationTokenSecretManager.java
apache_hadoop,TestDFSIO.testReadSkip,14cd969b,2,FileSystem.delete;FileSystem.open,apache_hadoop__TestDFSIO__testReadSkip.java
apache_hadoop,TestDFSIO.testReadBackward,14cd969b,2,FileSystem.delete;FileSystem.open,apache_hadoop__TestDFSIO__testReadBackward.java
apache_hadoop,TestDFSIO.testReadRandom,14cd969b,2,FileSystem.delete;FileSystem.open,apache_hadoop__TestDFSIO__testReadRandom.java
apache_hadoop,TestPeerCache.testEviction,14cd969b,4,PeerCache.close;PeerCache.get;PeerCache.put;PeerCache.size,apache_hadoop__TestPeerCache__testEviction.java
apache_hadoop,TestPathData.testUnqualifiedUriContents,14cd969b,1,PathData.getDirectoryContents,apache_hadoop__TestPathData__testUnqualifiedUriContents.java
apache_hadoop,TestDelegationTokenForProxyUser.testDelegationTokenWithRealUser,14cd969b,2,DelegationTokenIdentifier.getUser;UserGroupInformation.doAs,apache_hadoop__TestDelegationTokenForProxyUser__testDelegationTokenWithRealUser.java
apache_hadoop,TestPathData.testWithStringAndConfForBuggyPath,14cd969b,3,FileSystem.makeQualified;Path.toString;PathData.toString,apache_hadoop__TestPathData__testWithStringAndConfForBuggyPath.java
apache_hadoop,TestModTime.testModTime,14cd969b,8,DFSClient.datanodeReport;FileStatus.getModificationTime;FileSystem.close;FileSystem.delete;FileSystem.exists;FileSystem.makeQualified;FileSystem.mkdirs;FileSystem.rename,apache_hadoop__TestModTime__testModTime.java
apache_hadoop,TestPathData.testWithDirStringAndConf,14cd969b,2,FileSystem.makeQualified;PathData.toString,apache_hadoop__TestPathData__testWithDirStringAndConf.java
apache_hadoop,TestPathData.testQualifiedUriContents,14cd969b,2,FileSystem.makeQualified;PathData.getDirectoryContents,apache_hadoop__TestPathData__testQualifiedUriContents.java
apache_hadoop,TestPathData.testCwdContents,14cd969b,1,PathData.getDirectoryContents,apache_hadoop__TestPathData__testCwdContents.java
apache_hadoop,TestSecurityUtil.testBuildDTServiceName,14cd969b,3,Configuration.setBoolean;SecurityUtil.buildDTServiceName;SecurityUtil.setConfiguration,apache_hadoop__TestSecurityUtil__testBuildDTServiceName.java
apache_hadoop,TestDelegationTokenForProxyUser.testWebHdfsDoAs,14cd969b,11,FSDataOutputStream.close;FSDataOutputStream.write;FileStatus.getLen;FileStatus.getOwner;Path.toString;UserGroupInformation.getShortUserName;WebHdfsFileSystem.append;WebHdfsFileSystem.create;WebHdfsFileSystem.getFileStatus;WebHdfsFileSystem.getHomeDirectory;WebHdfsFileSystem.getUri,apache_hadoop__TestDelegationTokenForProxyUser__testWebHdfsDoAs.java
apache_hadoop,TestMetricsSystemImpl.testInitFirstVerifyCallBacks,14cd969b,7,DefaultMetricsSystem.shutdown;MetricsSystemImpl.publishMetricsNow;MetricsSystemImpl.register;MetricsSystemImpl.registerSink;MetricsSystemImpl.shutdown;MetricsSystemImpl.start;MetricsSystemImpl.stop,apache_hadoop__TestMetricsSystemImpl__testInitFirstVerifyCallBacks.java
apache_hadoop,TestWritableName.testSetName,14cd969b,2,WritableName.getClass;WritableName.setName,apache_hadoop__TestWritableName__testSetName.java
apache_hadoop,TestPeerCache.testAddAndRetrieve,14cd969b,4,PeerCache.close;PeerCache.get;PeerCache.put;PeerCache.size,apache_hadoop__TestPeerCache__testAddAndRetrieve.java
apache_hadoop,TestDFSIO.testRead,14cd969b,2,FileSystem.delete;FileSystem.open,apache_hadoop__TestDFSIO__testRead.java
apache_hadoop,TestPeerCache.testExpiry,14cd969b,3,PeerCache.close;PeerCache.put;PeerCache.size,apache_hadoop__TestPeerCache__testExpiry.java
apache_hadoop,TestSecurityUtil.testBuildTokenServiceSockAddr,14cd969b,4,Configuration.setBoolean;NetUtils.createSocketAddr;SecurityUtil.buildTokenService;SecurityUtil.setConfiguration,apache_hadoop__TestSecurityUtil__testBuildTokenServiceSockAddr.java
