project,test,truth,pred,wrong,sha,path,file,note
cdapio_cdap,WorkflowHttpHandlerTest.testWorkflowForkFailure,conc,UC,True,37aadf29,cdap-app-fabric-tests/src/test/java/io/cdap/cdap/internal/app/services/http/handlers/WorkflowHttpHandlerTest.java,WorkflowHttpHandlerTest__testWorkflowForkFailure.java,
cdapio_cdap,PreviewDataPipelineTest.testLogicalTypePreviewRun,time,UC,True,37aadf29,cdap-app-templates/cdap-etl/cdap-data-pipeline-base/src/test/java/io/cdap/cdap/datapipeline/preview/PreviewDataPipelineTest.java,PreviewDataPipelineTest__testLogicalTypePreviewRun.java,
cdapio_cdap,ProgramLifecycleHttpHandlerTest.testStartProgramWithDisabledRuntimeArgs,async,OD,True,,,,
cdapio_cdap,WorkflowClientTestRun.testWorkflowClient,async,async,False,37aadf29,cdap-client-tests/src/test/java/io/cdap/cdap/client/WorkflowClientTestRun.java,WorkflowClientTestRun__testWorkflowClient.java,
cdapio_cdap,TestFrameworkTestRun.testWorkerInstances,async,async,False,37aadf29,cdap-unit-test/src/test/java/io/cdap/cdap/test/app/TestFrameworkTestRun.java,TestFrameworkTestRun__testWorkerInstances.java,
cdapio_cdap,ProvisioningServiceTest.testCancelDeprovision,OD,async,True,37aadf29,cdap-app-fabric/src/test/java/io/cdap/cdap/internal/provision/ProvisioningServiceTest.java,ProvisioningServiceTest__testCancelDeprovision.java,
cdapio_cdap,MetadataSubscriberServiceTest.testSubscriber,async,UC,True,37aadf29,cdap-app-fabric/src/test/java/io/cdap/cdap/metadata/MetadataSubscriberServiceTest.java,MetadataSubscriberServiceTest__testSubscriber.java,
cdapio_cdap,WorkflowHttpHandlerTest.testWorkflowTokenPut,async,OD,True,37aadf29,cdap-app-fabric-tests/src/test/java/io/cdap/cdap/internal/app/services/http/handlers/WorkflowHttpHandlerTest.java,WorkflowHttpHandlerTest__testWorkflowTokenPut.java,
cdapio_cdap,MetadataHttpHandlerTestRun.testSystemMetadataRetrieval,async,time,True,37aadf29,cdap-client-tests/src/test/java/io/cdap/cdap/client/MetadataHttpHandlerTestRun.java,MetadataHttpHandlerTestRun__testSystemMetadataRetrieval.java,
cdapio_cdap,TestFrameworkTestRun.testAppWithServices,conc,async,True,37aadf29,cdap-unit-test/src/test/java/io/cdap/cdap/test/app/TestFrameworkTestRun.java,TestFrameworkTestRun__testAppWithServices.java,
cdapio_cdap,MetricsQueryTestRun.testingUserServiceGaugeMetrics,async,async,False,,,,
