role,construct,z,fix_commits,fix_projects,bg_commits,bg_projects,fix_rate,bg_rate,projects_overlapping_flakebench,projects_independent
control,type:LinkedHashMap,8.18,84,68,31,28,0.1379,0.0255,15,53
control,new:LinkedHashMap,7.92,80,66,31,28,0.1314,0.0255,15,51
control,call:sort,6.38,50,40,17,15,0.0821,0.014,17,23
control,type:String,6.09,207,112,616,226,0.3399,0.5062,27,85
control,call:assertEquals,6.04,70,41,67,44,0.1149,0.0551,11,30
control,type:JSONAssert,5.88,32,17,0,0,0.0525,0.0,4,13
control,type:Map,5.8,108,80,198,129,0.1773,0.1627,20,60
control,static:JSONAssert.assertEquals,5.7,30,16,0,0,0.0493,0.0,4,12
control,static:Arrays.sort,5.34,28,26,2,2,0.046,0.0016,13,13
control,type:Comparator,4.78,33,27,18,18,0.0542,0.0148,10,17
control,call:comparing,4.69,25,21,6,6,0.0411,0.0049,7,14
control,static:Comparator.comparing,4.58,24,20,6,6,0.0394,0.0049,6,14
control,type:Arrays,4.38,62,49,114,89,0.1018,0.0937,18,31
control,type:JSONException,4.27,20,11,4,3,0.0328,0.0033,4,7
control,annot:JsonPropertyOrder,4.05,16,13,1,1,0.0263,0.0008,4,9
control,type:Assert,3.99,56,36,112,66,0.092,0.092,11,25
control,type:JsonPropertyOrder,3.94,16,13,2,2,0.0263,0.0016,4,9
control,call:toJSONString,3.8,15,5,2,2,0.0246,0.0016,1,4
control,call:toString,3.71,66,49,173,120,0.1084,0.1422,12,37
control,type:Matchers,3.65,21,14,14,12,0.0345,0.0115,4,10
control,call:readTree,3.65,20,15,12,9,0.0328,0.0099,6,9
control,type:LinkedHashSet,3.65,22,21,16,16,0.0361,0.0131,6,15
control,new:LinkedHashSet,3.59,21,20,15,15,0.0345,0.0123,6,14
control,static:Assert.assertEquals,3.41,30,19,43,27,0.0493,0.0353,7,12
control,call:clear,3.3,28,8,40,34,0.046,0.0329,3,5
control,type:JsonParser,3.24,15,13,8,7,0.0246,0.0066,0,13
control,call:split,3.1,25,15,36,30,0.0411,0.0296,4,11
control,new:ObjectMapper,2.94,15,12,12,11,0.0246,0.0099,3,9
control,annot:After,2.84,13,8,9,8,0.0213,0.0074,5,3
control,call:reset,2.84,16,8,16,12,0.0263,0.0131,5,3
control,call:annotationType,2.79,8,8,1,1,0.0131,0.0008,3,5
control,new:JsonParser,2.79,8,8,1,1,0.0131,0.0008,0,8
control,call:writeValueAsString,2.75,15,9,15,11,0.0246,0.0123,3,6
control,call:containsAll,2.71,9,8,3,3,0.0148,0.0025,1,7
control,call:equals,2.67,55,44,200,141,0.0903,0.1643,10,34
control,call:compareTo,2.6,12,11,10,8,0.0197,0.0082,4,7
control,call:parseString,2.59,7,5,1,1,0.0115,0.0008,0,5
control,type:ObjectMapper,2.59,18,14,27,19,0.0296,0.0222,3,11
control,static:JsonParser.parseString,2.59,7,5,1,1,0.0115,0.0008,0,5
control,call:assertThat,2.59,9,6,4,4,0.0148,0.0033,2,4
control,type:Integer,2.58,38,34,113,88,0.0624,0.0929,8,26
control,static:Arrays.asList,2.57,30,24,75,63,0.0493,0.0616,8,16
control,call:asList,2.57,30,24,75,63,0.0493,0.0616,8,16
control,call:assertTrue,2.57,21,18,38,28,0.0345,0.0312,5,13
control,type:After,2.56,13,8,13,12,0.0213,0.0107,5,3
control,type:Field,2.53,16,12,22,22,0.0263,0.0181,7,5
control,type:Gson,2.51,8,8,3,3,0.0131,0.0025,2,6
control,type:TreeMap,2.43,11,11,10,8,0.0181,0.0082,2,9
control,type:Set,2.43,35,30,107,81,0.0575,0.0879,8,22
control,call:containsExactlyInAnyOrder,2.4,10,7,8,7,0.0164,0.0066,2,5
control,type:CoreMatchers,2.39,8,7,4,4,0.0131,0.0033,3,4
control,new:TreeMap,2.32,10,10,9,8,0.0164,0.0074,1,9
control,type:TreeSet,2.3,7,7,3,3,0.0115,0.0025,1,6
control,new:Comparator,2.21,6,5,2,2,0.0099,0.0016,2,3
control,type:Json,2.21,9,5,8,7,0.0148,0.0066,2,3
control,new:TreeSet,2.21,6,6,2,2,0.0099,0.0016,1,5
control,static:Collections.sort,2.18,7,6,4,4,0.0115,0.0033,2,4
