role,construct,z,fix_commits,fix_projects,bg_commits,bg_projects,fix_rate,bg_rate,projects_overlapping_flakebench,projects_independent
control,type:LinkedHashMap,8.12,84,68,29,26,0.1379,0.0356,15,53
control,new:LinkedHashMap,7.86,80,66,29,26,0.1314,0.0356,15,51
control,type:String,6.88,207,112,470,202,0.3399,0.5774,27,85
control,call:sort,6.43,50,40,14,12,0.0821,0.0172,17,23
control,type:Map,6.18,108,80,160,108,0.1773,0.1966,20,60
control,call:assertEquals,5.88,70,41,67,44,0.1149,0.0823,11,30
control,type:JSONAssert,5.81,32,17,0,0,0.0525,0.0,4,13
control,static:JSONAssert.assertEquals,5.63,30,16,0,0,0.0493,0.0,4,12
control,static:Arrays.sort,5.27,28,26,2,2,0.046,0.0025,13,13
control,type:Comparator,4.8,33,27,16,16,0.0542,0.0197,10,17
control,call:comparing,4.7,25,21,5,5,0.0411,0.0061,7,14
control,static:Comparator.comparing,4.59,24,20,5,5,0.0394,0.0061,6,14
control,type:Arrays,4.51,62,49,99,79,0.1018,0.1216,18,31
control,type:JSONException,4.39,20,11,2,1,0.0328,0.0025,4,7
control,annot:JsonPropertyOrder,4.11,16,13,0,0,0.0263,0.0,4,9
control,type:JsonPropertyOrder,4.0,16,13,1,1,0.0263,0.0012,4,9
control,call:toString,3.91,66,49,146,101,0.1084,0.1794,12,37
control,type:Assert,3.86,56,36,110,64,0.092,0.1351,11,25
control,call:toJSONString,3.86,15,5,1,1,0.0246,0.0012,1,4
control,type:LinkedHashSet,3.7,22,21,14,14,0.0361,0.0172,6,15
control,type:Matchers,3.63,21,14,13,12,0.0345,0.016,4,10
control,new:LinkedHashSet,3.57,21,20,14,14,0.0345,0.0172,6,14
control,call:readTree,3.57,20,15,12,9,0.0328,0.0147,6,9
control,static:Assert.assertEquals,3.29,30,19,43,27,0.0493,0.0528,7,12
control,type:JsonParser,3.26,15,13,7,6,0.0246,0.0086,0,13
control,call:clear,3.22,28,8,39,33,0.046,0.0479,3,5
control,call:split,3.11,25,15,33,28,0.0411,0.0405,4,11
control,call:equals,2.97,55,44,160,119,0.0903,0.1966,10,34
control,new:ObjectMapper,2.87,15,12,12,11,0.0246,0.0147,3,9
control,call:writeValueAsString,2.87,15,9,12,9,0.0246,0.0147,3,6
control,annot:After,2.78,13,8,9,8,0.0213,0.0111,5,3
control,type:Integer,2.78,38,34,93,75,0.0624,0.1143,8,26
control,call:reset,2.77,16,8,16,12,0.0263,0.0197,5,3
control,call:annotationType,2.75,8,8,1,1,0.0131,0.0012,3,5
control,new:JsonParser,2.75,8,8,1,1,0.0131,0.0012,0,8
control,call:containsAll,2.66,9,8,3,3,0.0148,0.0037,1,7
control,type:ObjectMapper,2.63,18,14,24,18,0.0296,0.0295,3,11
control,call:asList,2.62,30,24,67,57,0.0493,0.0823,8,16
control,static:Arrays.asList,2.62,30,24,67,57,0.0493,0.0823,8,16
control,call:compareTo,2.62,12,11,9,8,0.0197,0.0111,4,7
control,type:Gson,2.6,8,8,2,2,0.0131,0.0025,2,6
control,type:Set,2.58,35,30,90,68,0.0575,0.1106,8,22
control,call:parseString,2.55,7,5,1,1,0.0115,0.0012,0,5
control,static:JsonParser.parseString,2.55,7,5,1,1,0.0115,0.0012,0,5
control,call:assertThat,2.55,9,6,4,4,0.0148,0.0049,2,4
control,type:After,2.49,13,8,13,12,0.0213,0.016,5,3
control,call:assertTrue,2.46,21,18,38,28,0.0345,0.0467,5,13
control,type:Field,2.45,16,12,22,22,0.0263,0.027,7,5
control,type:TreeMap,2.44,11,11,9,7,0.0181,0.0111,2,9
control,type:CoreMatchers,2.35,8,7,4,4,0.0131,0.0049,3,4
control,type:Json,2.34,9,5,6,5,0.0148,0.0074,2,3
control,call:containsExactlyInAnyOrder,2.34,10,7,8,7,0.0164,0.0098,2,5
control,new:TreeMap,2.34,10,10,8,7,0.0164,0.0098,1,9
control,kw:static,2.33,93,62,455,203,0.1527,0.559,17,45
control,static:Collections.sort,2.26,7,6,3,3,0.0115,0.0037,2,4
control,type:TreeSet,2.26,7,7,3,3,0.0115,0.0037,1,6
control,type:Object,2.25,50,35,190,119,0.0821,0.2334,11,24
control,call:contains,2.19,36,30,117,84,0.0591,0.1437,10,20
control,new:Comparator,2.18,6,5,2,2,0.0099,0.0025,2,3
