pair_id,source,tier,repair_author,project_slug,project_url,module_path,test_class,test_method,fq_test,before_sha,before_sha_reachable,after_type,after_ref,source_category,idoft_status,flakebench_label,flakebench_category,label_confidence,label_candidates,mapping_note,build_env,java_version,reproflake_zip,reproflake_url,reproflake_fixed_sha,polluter,in_flakebench,flakebench_existing_label,notes,merge_commit_sha,merge_parent_sha,merge_kind,minimal_pair,pr_merged,pr_merged_at,pr_commits,pr_changed_files,pr_touch,pr_files_java_main,pr_files_java_test
P0001,idoft,A,developer,abel533/mapper,https://github.com/abel533/Mapper,base,tk.mybatis.mapper.test.country.TestDeleteByPrimaryKey,testDynamicDelete,tk.mybatis.mapper.test.country.TestDeleteByPrimaryKey.testDynamicDelete,3c0b3307011fad53f811e08d05147d94fc6c0d67,yes,pr,https://github.com/abel533/Mapper/pull/838,OD,Accepted,test order dependency,4,high,,,none,,,,,,,,https://github.com/TestingResearchIllinois/idoft/issues/90,ee139d6919c590cb8d774361ac2724b3ab5c33f2,08f4f7a5c0149b187d91a2c3ee1bd8390df2315a,squash_or_rebase,no,true,2022-10-16T02:56:24Z,2,1,test_only,0,1
P0002,idoft,A,developer,abel533/mapper,https://github.com/abel533/Mapper,base,tk.mybatis.mapper.test.country.TestDeleteByPrimaryKey,testDynamicDeleteEntity,tk.mybatis.mapper.test.country.TestDeleteByPrimaryKey.testDynamicDeleteEntity,3c0b3307011fad53f811e08d05147d94fc6c0d67,yes,pr,https://github.com/abel533/Mapper/pull/838,OD,Accepted,test order dependency,4,high,,,none,,,,,,,,https://github.com/TestingResearchIllinois/idoft/issues/90,ee139d6919c590cb8d774361ac2724b3ab5c33f2,08f4f7a5c0149b187d91a2c3ee1bd8390df2315a,squash_or_rebase,no,true,2022-10-16T02:56:24Z,2,1,test_only,0,1
P0003,idoft,A,developer,abel533/mapper,https://github.com/abel533/Mapper,base,tk.mybatis.mapper.test.country.TestDeleteByPrimaryKey,testDynamicDeleteException,tk.mybatis.mapper.test.country.TestDeleteByPrimaryKey.testDynamicDeleteException,3c0b3307011fad53f811e08d05147d94fc6c0d67,yes,pr,https://github.com/abel533/Mapper/pull/838,OD,Accepted,test order dependency,4,high,,,none,,,,,,,,https://github.com/TestingResearchIllinois/idoft/issues/90,ee139d6919c590cb8d774361ac2724b3ab5c33f2,08f4f7a5c0149b187d91a2c3ee1bd8390df2315a,squash_or_rebase,no,true,2022-10-16T02:56:24Z,2,1,test_only,0,1
P0004,idoft,A,developer,abel533/mapper,https://github.com/abel533/Mapper,base,tk.mybatis.mapper.test.country.TestDeleteByPrimaryKey,testDynamicDeleteMap,tk.mybatis.mapper.test.country.TestDeleteByPrimaryKey.testDynamicDeleteMap,3c0b3307011fad53f811e08d05147d94fc6c0d67,yes,pr,https://github.com/abel533/Mapper/pull/838,OD,Accepted,test order dependency,4,high,,,none,,,,,,,,https://github.com/TestingResearchIllinois/idoft/issues/90,ee139d6919c590cb8d774361ac2724b3ab5c33f2,08f4f7a5c0149b187d91a2c3ee1bd8390df2315a,squash_or_rebase,no,true,2022-10-16T02:56:24Z,2,1,test_only,0,1
P0005,idoft,A,developer,abel533/mapper,https://github.com/abel533/Mapper,solon-plugin,tk.mybatis.solon.test.service.TkMapperServiceTest,all,tk.mybatis.solon.test.service.TkMapperServiceTest.all,7990b9c48bbcebf590f09fc245daba0c396f7b57,yes,pr,https://github.com/abel533/Mapper/pull/940,ID,Accepted,unordered collections,3,high,,NonDex-induced iteration order over hash containers or reflection,none,,,,,,,,,38ee3a993c2b5188a5af8870a899e0a9e360f341,7990b9c48bbcebf590f09fc245daba0c396f7b57,merge,yes,true,2025-10-10T01:03:47Z,1,1,test_only,0,1
P0006,idoft,A,developer,abel533/mapper,https://github.com/abel533/Mapper,solon-plugin,tk.mybatis.solon.test.service.TkMapperServiceTest,byId,tk.mybatis.solon.test.service.TkMapperServiceTest.byId,7990b9c48bbcebf590f09fc245daba0c396f7b57,yes,pr,https://github.com/abel533/Mapper/pull/940,ID,Accepted,unordered collections,3,high,,NonDex-induced iteration order over hash containers or reflection,none,,,,,,,,,38ee3a993c2b5188a5af8870a899e0a9e360f341,7990b9c48bbcebf590f09fc245daba0c396f7b57,merge,yes,true,2025-10-10T01:03:47Z,1,1,test_only,0,1
P0007,idoft,A,developer,abel533/mapper,https://github.com/abel533/Mapper,solon-plugin,tk.mybatis.solon.test.service.TkMapperServiceTest,exampleQuery,tk.mybatis.solon.test.service.TkMapperServiceTest.exampleQuery,7990b9c48bbcebf590f09fc245daba0c396f7b57,yes,pr,https://github.com/abel533/Mapper/pull/940,ID,Accepted,unordered collections,3,high,,NonDex-induced iteration order over hash containers or reflection,none,,,,,,,,,38ee3a993c2b5188a5af8870a899e0a9e360f341,7990b9c48bbcebf590f09fc245daba0c396f7b57,merge,yes,true,2025-10-10T01:03:47Z,1,1,test_only,0,1
P0008,idoft,A,developer,abel533/mapper,https://github.com/abel533/Mapper,solon-plugin,tk.mybatis.solon.test.service.TkMapperServiceTest,logicDelInsert,tk.mybatis.solon.test.service.TkMapperServiceTest.logicDelInsert,7990b9c48bbcebf590f09fc245daba0c396f7b57,yes,pr,https://github.com/abel533/Mapper/pull/940,ID,Accepted,unordered collections,3,high,,NonDex-induced iteration order over hash containers or reflection,none,,,,,,,,,38ee3a993c2b5188a5af8870a899e0a9e360f341,7990b9c48bbcebf590f09fc245daba0c396f7b57,merge,yes,true,2025-10-10T01:03:47Z,1,1,test_only,0,1
P0009,idoft,A,developer,abel533/mapper,https://github.com/abel533/Mapper,solon-plugin,tk.mybatis.solon.test.service.TkMapperServiceTest,rawMybatisQuery,tk.mybatis.solon.test.service.TkMapperServiceTest.rawMybatisQuery,7990b9c48bbcebf590f09fc245daba0c396f7b57,yes,pr,https://github.com/abel533/Mapper/pull/940,ID,Accepted,unordered collections,3,high,,NonDex-induced iteration order over hash containers or reflection,none,,,,,,,,,38ee3a993c2b5188a5af8870a899e0a9e360f341,7990b9c48bbcebf590f09fc245daba0c396f7b57,merge,yes,true,2025-10-10T01:03:47Z,1,1,test_only,0,1
P0010,idoft,A,developer,accenture/mercury,https://github.com/Accenture/mercury,system/platform-core,org.platformlambda.core.PostOfficeTest,journalYamlTest,org.platformlambda.core.PostOfficeTest.journalYamlTest,e659caf000c2a714d921a52cbc85e13f56cef981,yes,pr,https://github.com/Accenture/mercury/pull/143,ID,Accepted,unordered collections,3,high,,NonDex-induced iteration order over hash containers or reflection,reproflake,11,mercury=system+platform-core=e659caf,https://zenodo.org/records/18605131/files/mercury=system+platform-core=e659caf.zip,2528e2354296760b67afb93a7d0d7ea4337a59e0,,,,,2528e2354296760b67afb93a7d0d7ea4337a59e0,e659caf000c2a714d921a52cbc85e13f56cef981,merge,yes,true,2024-10-15T22:33:40Z,1,1,test_only,0,1
