package,class,method,descriptor,nesting,lines_covered,lines_total,coverage_pct,branches_covered,branches_missed,first_line
org.platformlambda.automation.services,org.platformlambda.automation.services.ServiceResponseHandler,<init>,(Ljava/util/concurrent/ConcurrentMap;)V,top-level,3,3,100.0,0,0,68
org.platformlambda.automation.services,org.platformlambda.automation.services.ServiceResponseHandler,<clinit>,()V,top-level,2,2,100.0,0,0,46
org.platformlambda.automation.services,org.platformlambda.automation.services.AuthInterceptor,<init>,()V,top-level,1,1,100.0,0,0,40
org.platformlambda.automation.services,org.platformlambda.automation.services.AuthInterceptor,<clinit>,()V,top-level,1,1,100.0,0,0,41
org.platformlambda.automation.services,org.platformlambda.automation.services.ServiceGateway,<init>,()V,top-level,3,3,100.0,0,0,90
org.platformlambda.automation.services,org.platformlambda.automation.services.ServiceGateway,initialize,()V,top-level,33,44,75.0,12,10,96
org.platformlambda.automation.services,org.platformlambda.automation.services.ServiceGateway,getContexts,()Ljava/util/concurrent/ConcurrentMap;,top-level,1,1,100.0,0,0,157
org.platformlambda.automation.services,org.platformlambda.automation.services.ServiceGateway,<clinit>,()V,top-level,6,6,100.0,0,0,50
org.platformlambda.core.services,org.platformlambda.core.services.EventApiService,<init>,()V,top-level,1,1,100.0,0,0,42
org.platformlambda.core.services,org.platformlambda.core.services.EventApiService,<clinit>,()V,top-level,1,1,100.0,0,0,43
org.platformlambda.core.services,org.platformlambda.core.services.StreamToBytes,<init>,()V,top-level,2,2,100.0,0,0,32
org.platformlambda.core.services,org.platformlambda.core.services.DistributedTrace,<init>,()V,top-level,1,1,100.0,0,0,37
org.platformlambda.core.services,org.platformlambda.core.services.DistributedTrace,<clinit>,()V,top-level,2,2,100.0,0,0,38
org.platformlambda.automation.config,org.platformlambda.automation.config.RoutingEntry,getInstance,()Lorg/platformlambda/automation/config/RoutingEntry;,top-level,1,1,100.0,0,0,86
org.platformlambda.automation.config,org.platformlambda.automation.config.RoutingEntry,getNoCacheConfig,(Lorg/platformlambda/core/util/ConfigReader;)Ljava/util/List;,top-level,10,14,71.4,5,3,204
org.platformlambda.automation.config,org.platformlambda.automation.config.RoutingEntry,getFilter,(Lorg/platformlambda/core/util/ConfigReader;)Lorg/platformlambda/automation/models/SimpleHttpFilter;,top-level,19,29,65.5,12,8,227
org.platformlambda.automation.config,org.platformlambda.automation.config.RoutingEntry,invalidFilterParameters,(Ljava/util/List;)Z,top-level,8,11,72.7,7,3,268
org.platformlambda.automation.config,org.platformlambda.automation.config.RoutingEntry,load,(Lorg/platformlambda/core/util/ConfigReader;)V,top-level,51,54,94.4,29,21,288
org.platformlambda.automation.config,org.platformlambda.automation.config.RoutingEntry,isListOfMap,(Ljava/util/List;)Z,top-level,4,5,80.0,3,1,365
org.platformlambda.automation.config,org.platformlambda.automation.config.RoutingEntry,loadRest,(Lorg/platformlambda/core/util/ConfigReader;I)V,top-level,7,8,87.5,12,4,374
org.platformlambda.automation.config,org.platformlambda.automation.config.RoutingEntry,loadRestEntry,(Lorg/platformlambda/core/util/ConfigReader;IZ)V,top-level,106,144,73.6,54,24,389
org.platformlambda.automation.config,org.platformlambda.automation.config.RoutingEntry,validateServiceList,(Ljava/lang/Object;)Ljava/util/List;,top-level,19,23,82.6,17,9,592
org.platformlambda.automation.config,org.platformlambda.automation.config.RoutingEntry,validMethods,(Ljava/util/List;)Z,top-level,5,7,71.4,4,2,624
org.platformlambda.automation.config,org.platformlambda.automation.config.RoutingEntry,getUrl,(Ljava/lang/String;Z)Ljava/lang/String;,top-level,13,19,68.4,12,4,636
org.platformlambda.automation.config,org.platformlambda.automation.config.RoutingEntry,validArgument,(Ljava/lang/String;)Z,top-level,4,6,66.7,5,5,663
org.platformlambda.automation.config,org.platformlambda.automation.config.RoutingEntry,validWildcard,(Ljava/lang/String;)Z,top-level,2,6,33.3,1,5,676
org.platformlambda.automation.config,org.platformlambda.automation.config.RoutingEntry,loadCors,(Lorg/platformlambda/core/util/ConfigReader;I)V,top-level,18,20,90.0,11,5,688
org.platformlambda.automation.config,org.platformlambda.automation.config.RoutingEntry,validCorsList,(Ljava/util/List;)Z,top-level,5,8,62.5,4,2,715
org.platformlambda.automation.config,org.platformlambda.automation.config.RoutingEntry,validCorsElement,(Ljava/lang/String;)Z,top-level,6,12,50.0,3,3,729
org.platformlambda.automation.config,org.platformlambda.automation.config.RoutingEntry,loadHeaderTransform,(Lorg/platformlambda/core/util/ConfigReader;I)V,top-level,6,7,85.7,3,1,747
org.platformlambda.automation.config,org.platformlambda.automation.config.RoutingEntry,loadHeaderEntry,(Lorg/platformlambda/core/util/ConfigReader;IZ)V,top-level,38,45,84.4,19,11,760
org.platformlambda.automation.config,org.platformlambda.automation.config.RoutingEntry,getDurationInSeconds,(Ljava/lang/String;)I,top-level,3,4,75.0,1,1,821
org.platformlambda.automation.config,org.platformlambda.automation.config.RoutingEntry,<clinit>,()V,top-level,10,10,100.0,0,0,33
org.platformlambda.core.websocket.server,org.platformlambda.core.websocket.server.MinimalistHttpHandler,<init>,()V,top-level,1,1,100.0,0,0,43
org.platformlambda.core.websocket.server,org.platformlambda.core.websocket.server.MinimalistHttpHandler,<clinit>,()V,top-level,10,10,100.0,0,0,45
org.platformlambda.core.websocket.server,org.platformlambda.core.websocket.server.WsRequestHandler$IdleCheck,<init>,()V,nested,8,8,100.0,0,0,177
org.platformlambda.core.websocket.server,org.platformlambda.core.websocket.server.WsRequestHandler,<init>,(Ljava/util/concurrent/ConcurrentMap;)V,top-level,12,15,80.0,1,1,60
org.platformlambda.core.websocket.server,org.platformlambda.core.websocket.server.WsRequestHandler,<clinit>,()V,top-level,5,5,100.0,0,0,46
org.platformlambda.core.actuator,org.platformlambda.core.actuator.ActuatorServices,<init>,()V,top-level,2,2,100.0,0,0,32
org.platformlambda.core.actuator,org.platformlambda.core.actuator.ActuatorServices,<clinit>,()V,top-level,4,4,100.0,0,0,36
org.platformlambda.core.actuator,org.platformlambda.core.actuator.HealthService,<init>,()V,top-level,9,10,90.0,4,4,33
org.platformlambda.core.actuator,org.platformlambda.core.actuator.HealthService,<clinit>,()V,top-level,2,2,100.0,0,0,137
org.platformlambda.core.actuator,org.platformlambda.core.actuator.InfoService,<init>,()V,top-level,8,8,100.0,1,1,30
org.platformlambda.core.models,org.platformlambda.core.models.ProcessStatus,<init>,()V,top-level,5,5,100.0,0,0,24
org.platformlambda.core.models,org.platformlambda.core.models.ProcessStatus,isDelivered,()Z,top-level,1,1,100.0,0,0,41
org.platformlambda.core.models,org.platformlambda.core.models.ProcessStatus,setExecutionTime,(F)Lorg/platformlambda/core/models/ProcessStatus;,top-level,3,3,100.0,0,0,49
org.platformlambda.core.models,org.platformlambda.core.models.ProcessStatus,setInputOutput,(Ljava/util/Map;)Lorg/platformlambda/core/models/ProcessStatus;,top-level,2,2,100.0,0,0,63
org.platformlambda.core.models,org.platformlambda.core.models.EventEnvelope,<init>,()V,top-level,10,10,100.0,0,0,88
org.platformlambda.core.models,org.platformlambda.core.models.EventEnvelope,getTo,()Ljava/lang/String;,top-level,1,1,100.0,0,0,132
org.platformlambda.core.models,org.platformlambda.core.models.EventEnvelope,getReplyTo,()Ljava/lang/String;,top-level,1,1,100.0,0,0,140
org.platformlambda.core.models,org.platformlambda.core.models.EventEnvelope,getTraceId,()Ljava/lang/String;,top-level,1,1,100.0,0,0,144
org.platformlambda.core.models,org.platformlambda.core.models.EventEnvelope,getTracePath,()Ljava/lang/String;,top-level,1,1,100.0,0,0,148
org.platformlambda.core.models,org.platformlambda.core.models.EventEnvelope,getStatus,()I,top-level,1,1,100.0,1,1,160
org.platformlambda.core.models,org.platformlambda.core.models.EventEnvelope,getBroadcastLevel,()I,top-level,1,1,100.0,0,0,172
org.platformlambda.core.models,org.platformlambda.core.models.EventEnvelope,isEndOfRoute,()Z,top-level,1,1,100.0,0,0,176
org.platformlambda.core.models,org.platformlambda.core.models.EventEnvelope,getHeaders,()Ljava/util/Map;,top-level,1,1,100.0,0,0,204
org.platformlambda.core.models,org.platformlambda.core.models.EventEnvelope,isOptional,()Z,top-level,1,1,100.0,0,0,216
org.platformlambda.core.models,org.platformlambda.core.models.EventEnvelope,getRawBody,()Ljava/lang/Object;,top-level,1,1,100.0,0,0,225
org.platformlambda.core.models,org.platformlambda.core.models.EventEnvelope,getBody,()Ljava/lang/Object;,top-level,11,20,55.0,6,6,235
org.platformlambda.core.models,org.platformlambda.core.models.EventEnvelope,setTo,(Ljava/lang/String;)Lorg/platformlambda/core/models/EventEnvelope;,top-level,2,2,100.0,0,0,346
org.platformlambda.core.models,org.platformlambda.core.models.EventEnvelope,extraToKeyValues,()Ljava/util/Map;,top-level,4,9,44.4,1,3,436
