package,class,method,descriptor,nesting,lines_covered,lines_total,coverage_pct,branches_covered,branches_missed,first_line
com.google.testing.junit.testparameterinjector,com.google.testing.junit.testparameterinjector.TestMethodProcessorList,<init>,(Lcom/google/common/collect/ImmutableList;)V,top-level,3,3,100.0,0,0,32
com.google.testing.junit.testparameterinjector,com.google.testing.junit.testparameterinjector.TestMethodProcessorList,createNewParameterizedProcessors,()Lcom/google/testing/junit/testparameterinjector/TestMethodProcessorList;,top-level,3,3,100.0,0,0,46
com.google.testing.junit.testparameterinjector,com.google.testing.junit.testparameterinjector.TestMethodProcessorList,calculateTestInfos,(Ljava/lang/reflect/Method;Ljava/lang/Class;)Ljava/util/List;,top-level,13,13,100.0,4,0,64
com.google.testing.junit.testparameterinjector,com.google.testing.junit.testparameterinjector.TestMethodProcessorList,getTestMethodParameters,(Lcom/google/testing/junit/testparameterinjector/TestInfo;)Ljava/util/List;,top-level,6,6,100.0,0,0,108
com.google.testing.junit.testparameterinjector,com.google.testing.junit.testparameterinjector.TestMethodProcessorList,postProcessTestInstance,(Ljava/lang/Object;Lcom/google/testing/junit/testparameterinjector/TestInfo;)V,top-level,4,4,100.0,2,0,126
com.google.testing.junit.testparameterinjector,com.google.testing.junit.testparameterinjector.TestMethodProcessorList,validateConstructor,(Ljava/lang/reflect/Constructor;)Lcom/google/testing/junit/testparameterinjector/ExecutableValidationResult;,top-level,4,4,100.0,0,0,133
com.google.testing.junit.testparameterinjector,com.google.testing.junit.testparameterinjector.TestMethodProcessorList,validateTestMethod,(Ljava/lang/reflect/Method;Ljava/lang/Class;)Lcom/google/testing/junit/testparameterinjector/ExecutableValidationResult;,top-level,4,4,100.0,0,0,141
com.google.testing.junit.testparameterinjector,com.google.testing.junit.testparameterinjector.TestMethodProcessorList,lambda$validateTestMethod$5,(Ljava/lang/reflect/Method;Ljava/lang/Class;Lcom/google/testing/junit/testparameterinjector/TestMethodProcessor;)Lcom/google/testing/junit/testparameterinjector/ExecutableValidationResult;,top-level,1,1,100.0,0,0,142
com.google.testing.junit.testparameterinjector,com.google.testing.junit.testparameterinjector.TestMethodProcessorList,lambda$validateConstructor$4,(Ljava/lang/reflect/Constructor;Lcom/google/testing/junit/testparameterinjector/TestMethodProcessor;)Lcom/google/testing/junit/testparameterinjector/ExecutableValidationResult;,top-level,1,1,100.0,0,0,134
com.google.testing.junit.testparameterinjector,com.google.testing.junit.testparameterinjector.TestMethodProcessorList,lambda$getTestMethodParameters$2,(Lcom/google/testing/junit/testparameterinjector/TestInfo;Lcom/google/testing/junit/testparameterinjector/TestMethodProcessor;)Lcom/google/common/base/Optional;,top-level,1,1,100.0,0,0,109
com.google.testing.junit.testparameterinjector,com.google.testing.junit.testparameterinjector.TestParameterAnnotationMethodProcessor$AnnotationWithMetadata,<init>,()V,nested,1,1,100.0,0,0,241
