pair_id,project_slug,test_class,test_method,flakebench_label,source,pr_touch,overall,before_status,after_status,before_bp,after_bp,before_methods,after_methods,delta_methods,before_anonymous,after_anonymous,pair_dir
P0010,accenture/mercury,org.platformlambda.core.PostOfficeTest,journalYamlTest,unordered collections,idoft,test_only,ok,ok,ok,mercury@e659caf000c2,mercury@2528e2354296,340,340,0,1,1,D:\FSE-2027\FlakyLens\runs2\P0010__mercury__PostOfficeTest.journalYamlTest
P0018,adobe/asset-share-commons,com.adobe.aem.commons.assetshare.content.renditions.download.impl.AssetRenditionsDownloadServletTest,doPost,unordered collections,idoft,prod_only,ok,ok,ok,asset-share-commons@79fcce8819b1,asset-share-commons@a7b1dece99b3,130,130,0,0,0,D:\FSE-2027\FlakyLens\runs2\P0018__asset-share-common__AssetRenditionsDownloa.doPost
P0019,adobe/asset-share-commons,com.adobe.aem.commons.assetshare.content.renditions.download.impl.AssetRenditionsZipperImplTest,getZipEntryName,unordered collections,idoft,prod_only,ok,ok,ok,asset-share-commons@79fcce8819b1,asset-share-commons@a7b1dece99b3,61,61,0,0,0,D:\FSE-2027\FlakyLens\runs2\P0019__asset-share-common__AssetRenditionsZipperI.getZipEntryName
P0020,adobe/asset-share-commons,com.adobe.aem.commons.assetshare.content.renditions.download.impl.AssetRenditionsZipperImplTest,getZipEntryName_GenerateUniqueZipFileNameEntry,unordered collections,idoft,prod_only,ok,ok,ok,asset-share-commons@79fcce8819b1,asset-share-commons@a7b1dece99b3,61,61,0,0,0,D:\FSE-2027\FlakyLens\runs2\P0020__asset-share-common__AssetRenditionsZipperI.getZipEntryName_Ge
P0021,adobe/asset-share-commons,com.adobe.aem.commons.assetshare.content.renditions.download.impl.AssetRenditionsZipperImplTest,pack,unordered collections,idoft,prod_only,ok,ok,ok,asset-share-commons@79fcce8819b1,asset-share-commons@a7b1dece99b3,106,106,0,0,0,D:\FSE-2027\FlakyLens\runs2\P0021__asset-share-common__AssetRenditionsZipperI.pack
P0075,alibaba/fastjson,com.alibaba.json.bvt.issue_1100.Issue1177_2,test_for_issue,unordered collections,idoft,test_only,ok,ok,ok,fastjson@f164d8519ff0,fastjson@65ae52b6b646,387,387,0,5,5,D:\FSE-2027\FlakyLens\runs2\P0075__fastjson__Issue1177_2.test_for_issue
P0079,alibaba/fastjson,com.alibaba.json.bvt.issue_1400.Issue1480,test_for_issue,unordered collections,idoft,test_only,partial,build_failed,,fastjson@97ee7b63bfd1,,,,,,,D:\FSE-2027\FlakyLens\runs2\P0079__fastjson__Issue1480.test_for_issue
P1451,google/testparameterinjector,com.google.testing.junit.testparameterinjector.ParameterValueParsingTest,formatTestNameString_success[ARRAY],unordered collections,idoft,prod_only,ok,ok,ok,TestParameterInjector@5d67f8cb6648,TestParameterInjector@a46bb948ef8b,216,216,0,6,6,D:\FSE-2027\FlakyLens\runs2\P1451__testparameterinjec__ParameterValueParsingT.formatTestNameStri
P1452,google/testparameterinjector,com.google.testing.junit.testparameterinjector.ParameterValueParsingTest,formatTestNameString_success[CHAR_MATCHER],unordered collections,idoft,prod_only,ok,ok,ok,TestParameterInjector@5d67f8cb6648,TestParameterInjector@a46bb948ef8b,216,216,0,6,6,D:\FSE-2027\FlakyLens\runs2\P1452__testparameterinjec__ParameterValueParsingT.formatTestNameStri
P1453,google/testparameterinjector,com.google.testing.junit.testparameterinjector.ParameterValueParsingTest,formatTestNameString_success[EMPTY_STRING],unordered collections,idoft,prod_only,ok,ok,ok,TestParameterInjector@5d67f8cb6648,TestParameterInjector@a46bb948ef8b,216,216,0,6,6,D:\FSE-2027\FlakyLens\runs2\P1453__testparameterinjec__ParameterValueParsingT.formatTestNameStri
P1454,google/testparameterinjector,com.google.testing.junit.testparameterinjector.ParameterValueParsingTest,formatTestNameString_success[INTEGER],unordered collections,idoft,prod_only,ok,ok,ok,TestParameterInjector@5d67f8cb6648,TestParameterInjector@a46bb948ef8b,216,216,0,6,6,D:\FSE-2027\FlakyLens\runs2\P1454__testparameterinjec__ParameterValueParsingT.formatTestNameStri
P1455,google/testparameterinjector,com.google.testing.junit.testparameterinjector.ParameterValueParsingTest,formatTestNameString_success[INTEGER_STRING],unordered collections,idoft,prod_only,ok,ok,ok,TestParameterInjector@5d67f8cb6648,TestParameterInjector@a46bb948ef8b,216,216,0,6,6,D:\FSE-2027\FlakyLens\runs2\P1455__testparameterinjec__ParameterValueParsingT.formatTestNameStri
P1456,google/testparameterinjector,com.google.testing.junit.testparameterinjector.ParameterValueParsingTest,formatTestNameString_success[NULL_REFERENCE],unordered collections,idoft,prod_only,ok,ok,ok,TestParameterInjector@5d67f8cb6648,TestParameterInjector@a46bb948ef8b,216,216,0,6,6,D:\FSE-2027\FlakyLens\runs2\P1456__testparameterinjec__ParameterValueParsingT.formatTestNameStri
P1457,google/testparameterinjector,com.google.testing.junit.testparameterinjector.ParameterValueParsingTest,formatTestNameString_success[NULL_STRING],unordered collections,idoft,prod_only,ok,ok,ok,TestParameterInjector@5d67f8cb6648,TestParameterInjector@a46bb948ef8b,216,216,0,6,6,D:\FSE-2027\FlakyLens\runs2\P1457__testparameterinjec__ParameterValueParsingT.formatTestNameStri
P1458,google/testparameterinjector,com.google.testing.junit.testparameterinjector.ParameterValueParsingTest,formatTestNameString_success[REGULAR_STRING],unordered collections,idoft,prod_only,ok,ok,ok,TestParameterInjector@5d67f8cb6648,TestParameterInjector@a46bb948ef8b,216,216,0,6,6,D:\FSE-2027\FlakyLens\runs2\P1458__testparameterinjec__ParameterValueParsingT.formatTestNameStri
P1459,google/testparameterinjector,com.google.testing.junit.testparameterinjector.ParameterValueParsingTest,parseYamlStringToJavaType_success[BIG_INTEGER_TO_BIGINTEGER],unordered collections,idoft,prod_only,ok,ok,ok,TestParameterInjector@5d67f8cb6648,TestParameterInjector@a46bb948ef8b,218,218,0,6,6,D:\FSE-2027\FlakyLens\runs2\P1459__testparameterinjec__ParameterValueParsingT.parseYamlStringToJ
P1460,google/testparameterinjector,com.google.testing.junit.testparameterinjector.ParameterValueParsingTest,parseYamlStringToJavaType_success[BIG_INTEGER_TO_UNSIGNED_LONG],unordered collections,idoft,prod_only,ok,ok,ok,TestParameterInjector@5d67f8cb6648,TestParameterInjector@a46bb948ef8b,217,217,0,6,6,D:\FSE-2027\FlakyLens\runs2\P1460__testparameterinjec__ParameterValueParsingT.parseYamlStringToJ
P1461,google/testparameterinjector,com.google.testing.junit.testparameterinjector.ParameterValueParsingTest,parseYamlStringToJavaType_success[BINARY_TO_BYTESTRING],unordered collections,idoft,prod_only,ok,ok,ok,TestParameterInjector@5d67f8cb6648,TestParameterInjector@a46bb948ef8b,219,219,0,6,6,D:\FSE-2027\FlakyLens\runs2\P1461__testparameterinjec__ParameterValueParsingT.parseYamlStringToJ
P1462,google/testparameterinjector,com.google.testing.junit.testparameterinjector.ParameterValueParsingTest,parseYamlStringToJavaType_success[BOOLEAN_TO_BOOLEAN],unordered collections,idoft,prod_only,ok,ok,ok,TestParameterInjector@5d67f8cb6648,TestParameterInjector@a46bb948ef8b,217,217,0,6,6,D:\FSE-2027\FlakyLens\runs2\P1462__testparameterinjec__ParameterValueParsingT.parseYamlStringToJ
P1463,google/testparameterinjector,com.google.testing.junit.testparameterinjector.ParameterValueParsingTest,parseYamlStringToJavaType_success[BOOLEAN_TO_STRING],unordered collections,idoft,prod_only,ok,ok,ok,TestParameterInjector@5d67f8cb6648,TestParameterInjector@a46bb948ef8b,217,217,0,6,6,D:\FSE-2027\FlakyLens\runs2\P1463__testparameterinjec__ParameterValueParsingT.parseYamlStringToJ
