selected 343 pairs -> 686 sides -> 199 build points  (3.4x fewer builds)
  197 build points to run, 2 already done
[1/197] mercury@e659caf000c2                       1 tests  145.5s  eta=475m
[2/197] mercury@2528e2354296                       1 tests  166.4s  eta=507m
[3/197] asset-share-commons@79fcce8819b1           4 tests  204.3s  eta=556m
[4/197] asset-share-commons@a7b1dece99b3           4 tests  176.3s  eta=557m
[5/197] fastjson@f164d8519ff0                      1 tests  100.6s  eta=508m
[6/197] fastjson@65ae52b6b646                      1 tests  101.3s  eta=474m
[7/197] fastjson@97ee7b63bfd1                      1 tests  31.0s  eta=419m
[8/197] fastjson@0f4379b58cc5                      1 tests  1.1s  eta=365m
[9/197] fastjson@194b2995920a                      1 tests  0.4s  eta=323m
[10/197] fastjson@a72512de6ee5                      1 tests  1.1s  eta=289m
[11/197] fastjson2@1c8de338b8ab                     6 tests  0.4s  eta=262m
[12/197] fastjson2@1c400ba8a278                     6 tests  1.1s  eta=239m
[13/197] fastjson2@885f3d45e13b                     4 tests  0.4s  eta=219m
[14/197] fastjson2@63f7d11430c5                     4 tests  1.1s  eta=203m
[15/197] fastjson2@720c15a01b77                     2 tests  0.4s  eta=188m
[16/197] fastjson2@263805878f59                     2 tests  1.1s  eta=176m
[17/197] fastjson2@949c422c4a95                     3 tests  0.4s  eta=165m
[18/197] fastjson2@4d71c705c653                     2 tests  1.0s  eta=155m
[19/197] fastjson2@62a67f2602c5                     2 tests  0.4s  eta=146m
[20/197] fastjson2@2da286c2a998                     2 tests  1.1s  eta=138m
[21/197] fastjson2@013b7a1de1cf                    20 tests  0.4s  eta=131m
[22/197] fastjson2@25166fa3f31e                    20 tests  1.1s  eta=124m
[23/197] fastjson2@cda9e5dfa097                     3 tests  0.3s  eta=118m
[24/197] fastjson2@aaf9cbbdc538                     7 tests  1.1s  eta=113m
[25/197] fastjson2@d0081aeca487                     1 tests  0.9s  eta=108m
[26/197] fastjson2@927bb9f19176                     1 tests  2.1s  eta=103m
[27/197] fastjson2@42046295cef2                     3 tests  1.1s  eta=99m
[28/197] fastjson2@ca1d527e6407                     3 tests  0.4s  eta=95m
[29/197] fastjson2@b4e69f91879a                     3 tests  1.1s  eta=91m
[30/197] fastjson2@b05c4f17d934                     2 tests  0.5s  eta=88m
[31/197] fastjson2@2a898e6f44c4                     4 tests  1.1s  eta=84m
[32/197] innodb-java-reader@24a95d8005d4           45 tests  0.4s  eta=81m
[33/197] innodb-java-reader@56c89f0f0396           45 tests  1.1s  eta=78m
[34/197] jetcache@995e70a10281                      1 tests  0.5s  eta=76m
[35/197] jetcache@f2811b7c0715                      1 tests  1.1s  eta=73m
[36/197] nacos@83855da7340e                         2 tests  0.5s  eta=71m
[37/197] nacos@68811a7ad92d                         2 tests  1.1s  eta=68m
[38/197] testable-mock@80b0f3b87899                 1 tests  0.4s  eta=66m
[39/197] testable-mock@e1afb1cd5433                 1 tests  1.1s  eta=64m
[40/197] avro@7fd098a56064                          2 tests  0.5s  eta=62m
[41/197] avro@a6a0346b4aae                          2 tests  1.1s  eta=60m
[42/197] cloudstack@60017723357c                    2 tests  0.4s  eta=59m
[43/197] cloudstack@6eb04a86a6b6                    2 tests  1.1s  eta=57m
[44/197] cloudstack@2bb182c3e1eb                    3 tests  0.5s  eta=55m
[45/197] cloudstack@e9b24b6c3266                    3 tests  1.1s  eta=54m
[46/197] cloudstack@adec8110521b                    3 tests  0.4s  eta=52m
[47/197] cloudstack@94fd03df1373                    3 tests  1.0s  eta=51m
[48/197] cloudstack@df4cd2aae42f                    2 tests  0.5s  eta=50m
[49/197] cloudstack@96b07d797b73                    2 tests  1.1s  eta=48m
[50/197] dubbo@690d397f5e8d                         1 tests  0.4s  eta=47m
[51/197] dubbo@295f2a767f1a                         1 tests  1.1s  eta=46m
[52/197] dubbo@aa9f16e9eee8                         1 tests  0.5s  eta=45m
[53/197] dubbo@20a5efb5d11c                         1 tests  1.1s  eta=44m
[54/197] dubbo@628ad777b963                         2 tests  0.5s  eta=42m
[55/197] dubbo@8a8650f48345                         2 tests  1.1s  eta=41m
[56/197] dubbo@ba89f44f5aed                         2 tests  0.4s  eta=40m
[57/197] dubbo@f0c9b3fdd83d                         2 tests  1.1s  eta=39m
[58/197] flink@d4ca6ea2b006                         1 tests  0.4s  eta=39m
[59/197] flink@da7a6888cbee                         1 tests  1.1s  eta=38m
[60/197] hadoop@5b215f23d562                        1 tests  0.5s  eta=37m
[61/197] hadoop@d6bb47e5db2f                        1 tests  1.1s  eta=36m
[62/197] hop@da533730a386                           1 tests  0.5s  eta=35m
[63/197] hop@14bf658b2ba4                           1 tests  1.1s  eta=34m
[64/197] hop@25508de9a387                           2 tests  0.5s  eta=34m
[65/197] hop@96cfd6aab518                           3 tests  1.1s  eta=33m
[66/197] hop@1a276ede2071                           2 tests  0.4s  eta=32m
[67/197] hop@47e017985507                           1 tests  1.1s  eta=31m
[68/197] hop@aa24b9a39895                           3 tests  0.4s  eta=31m
[69/197] hop@15d79aeebe8e                           3 tests  1.1s  eta=30m
[70/197] incubator-hugegraph-tool@1c47673eb951      3 tests  0.5s  eta=29m
[71/197] incubator-hugegraph-tool@e02b7d1b05f9      3 tests  1.0s  eta=29m
[72/197] incubator-kie-drools@8440dc2d4b95          2 tests  0.5s  eta=28m
[73/197] incubator-kie-drools@4703e1241c07          2 tests  1.1s  eta=28m
[74/197] incubator-shenyu@d64041cadf8d              2 tests  0.5s  eta=27m
[75/197] incubator-shenyu@634b6bd91ad3              2 tests  1.1s  eta=27m
[76/197] incubator-streampipes@0d9712477bbc         2 tests  0.4s  eta=26m
[77/197] incubator-streampipes@33355e9de0f2         2 tests  1.1s  eta=25m
[78/197] pulsar@45e4f4a62754                        2 tests  0.4s  eta=25m
[79/197] pulsar@7dd52b8ae6ed                        2 tests  1.1s  eta=24m
[80/197] pulsar@c3292a611c9c                        3 tests  0.4s  eta=24m
